name,library_system,latitude,longitude,address,city,zip_code,county,phone
Alpine County Library,Alpine County Library/Archives,38.69329,-119.7823,270 Laramie St.,Markleeville,96120,Alpine,(530) 694-2120
Bear Valley Library Station,Alpine County Library/Archives,38.46581,-120.03883,367 Creekside Dr.,Bear Valley,95223,Alpine,(209) 753-6219
Amador County Library,Amador County Library,38.35405,-120.77652,530 Sutter St.,Jackson,95642,Amador,(209) 223-6400
Ione Branch Library,Amador County Library,38.35304,-120.93291,25 East Main St.,Ione,95640,Amador,(209) 274-2560
Pine Grove Branch Library,Amador County Library,38.41344,-120.65778,19889 Hwy 88,Pine Grove,95665,Amador,(209) 296-3111
Pioneer Branch Library,Amador County Library,38.44316,-120.55717,25070 Buckhorn Ridge Rd.,Pioneer,95666,Amador,(209) 295-7330
Plymouth Branch,Amador County Library,38.4812,-120.8485,9375 Main St.,Plymouth,95669,Amador,(209) 245-6476
Biggs Branch,Butte County Library,39.4135,-121.71032,464A B St.,Biggs,95917,Butte,(530) 552-5652
Oroville Branch,Butte County Library,39.50647,-121.55279,1820 Mitchell Avenue,Oroville,95966,Butte,(530) 552-5652
Chico Branch,Butte County Library,39.74383,-121.83411,1108 Sherman Avenue,Chico,95926,Butte,(530) 552-5652
Durham Branch,Butte County Library,39.64898,-121.80951,2545 Durham Dayton Hwy,Durham,95938,Butte,(530) 552-5652
Gridley Branch,Butte County Library,39.36669,-121.69109,299 Spruce Street,Gridley,95948,Butte,(530) 552-5652
Paradise Branch,Butte County Library,39.75799,-121.60616,5922 Clark Road,Paradise,95969,Butte,(530) 552-5652
Angels Camp Branch,Calaveras County Library,38.08614,-120.56645,426 N. Main Street,Angels Camp,95222,Calaveras,(209) 736-2198
Arnold Branch,Calaveras County Library,38.25789,-120.34738,1065 Blagen Road,Arnold,95223,Calaveras,(209) 795-1009
Calaveras County Library,Calaveras County Library,38.1897,-120.66319,1299 Gold Hunter Road,San Andreas,95249,Calaveras,(209) 754-6510
Copperopolis Branch Library,Calaveras County Library,37.96976,-120.62597,Suite 106 Lake Tulloch Plaza,Copperopolis,95228,Calaveras,(209) 785-0920
Mokelumne Hill Branch Library,Calaveras County Library,38.30159,-120.70567,8328 Main St.,Mokelumne Hill,95245,Calaveras,(209) 286-0507
Murphys Branch,Calaveras County Library,38.13742,-120.45964,480 Park Lane,Murphys,95247,Calaveras,(209) 728-3036
Valley Springs Branch,Calaveras County Library,38.19105,-120.83253,240 Pine St.,Valley Springs,95252,Calaveras,(209) 772-1318
West Point Branch Library,Calaveras County Library,38.39866,-120.52643,54 Bald Mountain Road,West Point,95255,Calaveras,(209) 293-7020
